MaleBonusPercent,FemaleBonusPercent,MaleTopQuartile,FemaleTopQuartile
0,0,49.2,50.8
99.4,98.9,87,13
88,61.6,88.6,11.4
0,0,9,91
15,85,21,79
0,0,47.5,52.5
95.3,85,91.1,8.9
0,0,55.4,44.6
0,0,25.3,74.7
0,0,28,72
0,0,27.5,72.5
0,0,44.2,55.8
1.6,0.5,60,40
6,0,95,5
3.3,0.5,98.5,1.5
0,0,76.9,23.1
55.6,47,54.5,45.5
27.7,59,37,63
2,1,47,53
6,8,24,76
94.3,95.6,53.1,46.9
85,57,90,10
87.9,88.1,57.6,42.4
74.7,87.3,61.1,38.9
94.5,94,55.7,44.3
95,95,81.6,18.4
96.7,97.2,86.7,13.3
95.4,89.4,91.1,8.9
98,95.4,73.6,26.4
6,1.3,33.3,66.7
0,0,43.4,56.6
0,0,28,72
100,100,95.7,4.3
100,100,95.7,4.3
5.3,2.1,90.4,9.6
4,12.5,99.2,0.8
9.6,11.9,84.3,15.7
30.3,29.3,91.8,8.2
69.6,64.4,43,57
7.2,5.8,60.4,39.6
0,0,20,80
0.8,2.3,79.7,20.3
0,0,10,90
21,26.2,34.2,65.8
37.6,88.9,83.1,16.9
0,0,22,78
69,79,39.6,60.4
95.4,88.2,90.7,9.3
2.5,4.2,53,47
3.6,22.7,51.7,48.3
0,0,17,83
15.7,9.9,51.5,48.5
12.9,6.9,85.5,14.5
34.1,16.5,86.5,13.5
6.9,1.2,27.6,72.4
0,0,53,47
0,0,53.5,46.5
92.6,98.2,75,25
0,0,41,59
7.6,4.2,88.4,11.6
3.8,0.2,21.7,78.3
0,0,45.8,54.2
54.3,54.3,84.8,15.2
50.6,48.4,81.1,18.9
20,28.2,65.6,34.4
45.4,66.7,100,0
16,12.1,90.6,9.4
93.9,6.1,95.6,4.4
0,0,14.3,85.7
30.6,11.1,94,6
45.6,30.9,65.7,34.3
73.7,71.2,95.8,4.2
33.5,28.3,84.2,15.8
38.1,32.7,73.7,26.3
0,0,37.1,62.9
0,0,51,49
0,0,34.6,65.4
0,0,32.4,67.6
0,0,34.9,65.1
70.9,83.1,23.9,76.1
9.2,8.4,49,51
1,3.6,74.1,25.9
27.1,65.5,62.3,37.7
9,12.8,22.9,77.1
0,0,49.3,50.7
8.4,0,75,25
33,13,18,82
5.4,0.5,27.7,72.3
0.6,0.8,16.7,83.3
0,7,26,74
0,0,33.3,66.7
0,0,54,46
45.8,72.8,82,18
0,0,25,75
0,0,60,40
84.2,76.1,61,39
1.5,11.3,81.9,18.1
6,1,20,80
100,100,78,22
6,1,28.8,71.2
28.4,36,55,45
0,0,13,87
97.1,92.9,87,13
0,0,75,25
0,0,36,64
2.1,0.7,49.1,50.9
14,11.5,57.8,42.2
0,0,27.8,72.2
32.5,17.8,96.8,3.2
37.5,76.7,63.5,36.5
88.7,87.2,69.6,30.4
80,70,64,36
47.3,24.6,90,10
84,93,80,20
99,100,87,13
100,99,85,15
97,98,85,15
87.9,85.6,72.8,27.2
0,0,47.3,52.7
0,0,61,39
0,0,24,76
0,0,21,79
0,0,70,30
0,3,46,54
75,80,76.5,23.5
1.6,0.3,66.4,33.6
0,0,47,53
0,0,41,59
0,0,36,64
0,0,33,67
0,0,34.5,65.5
0,0,35.4,64.6
0,0,18.8,81.2
0,0,33,67
0,0,43,57
84,83.4,43,57
9.9,6.3,43,57
98,94,81,19
50,67,68,32
6.8,1.1,31.1,68.9
30.7,45.9,53.6,46.4
0,0,35.6,64.4
96.8,91.7,44.7,55.3
0,0,32,68
0,0,30.2,69.8
0,0,42,58
18.6,1,87.3,12.7
6.9,2.8,15.8,84.2
36.7,41.3,79.1,20.9
0,0,23.3,76.7
0,0,42,58
48,28,26,74
0,0,63,37
0,0,34.6,65.4
8.5,11.9,66.9,33.1
7.1,2.8,74.5,25.5
78,95,73.6,26.4
0,8,14.1,85.9
7,5,96,4
0,0,21,79
0,0,66.7,33.3
100,99.1,70.4,29.6
2.1,12.1,59,41
11.8,7,62.5,37.5
0,0,29,71
12.9,11.4,89.7,10.3
87.8,87,66.2,33.8
0,0,14.8,85.2
0,0,28,72
0,0,34.6,65.4
65,73,95.5,4.5
0,0,75,25
0,0,16.8,83.2
71.9,60.7,89,11
0,0,34.9,65.1
74,81.3,91.4,8.6
14,18.3,50.6,49.4
0,0,83,17
48.2,45.5,39.3,60.7
83.5,83.5,73.6,26.4
0,0,33.2,66.8
13.8,1.9,39.7,60.3
6,1,35,65
5,0.4,29.1,70.9
0,0,39.4,60.6
67.4,32.6,75,25
0,0,68,32
1.5,1.4,31.7,68.3
33,24,80.2,19.8
77.4,89.3,75.6,24.4
0,0,18.5,81.5
65,67.8,91.8,8.2
23.2,47.9,81.3,18.7
5.5,3.4,37,63
99,98.7,60.5,39.5
98.4,93.2,94.1,5.9
0,0,39,61
5.8,5.4,27,73
54.7,76.5,86.2,13.8
30.3,30,47.3,52.7
0.2,0.2,41.4,58.6
91,80,66,34
0,0,17.4,82.6
0,0,,
61.8,46.7,67.7,32.3
0,0,78,22
61.8,77.8,92.3,7.7
0,0,19.3,80.7
84,84.3,97.5,2.5
94,89,95,5
88.9,91.6,66.2,33.8
94,96,50.8,49.2
25,75,69,31
65.8,91.9,60,40
97.2,94.6,64.4,35.6
79.1,83.7,53,47
0,0,82.9,17.1
0,0,32.4,67.6
0.5,0,40.6,59.4
89.3,90.3,71.7,28.3
93.1,94.7,56.1,43.9
83.6,85.3,85.1,14.9
0,0,46,54
60,70,77.8,22.2
70.7,56.5,80,20
96.4,89.7,65,35
51.4,62.4,79.3,20.7
0,0,30,70
14.5,10.1,87.4,12.6
3.7,2.8,63,37
